Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/06/22,@,ATL,L,103,118,32,26,18,4,8/15,4/7,6/7,91,28.6%,72,144.4,85,22.2%,39,15.0%,51,75.0%,66,10.3%,97,41.7%,74,3.0%,64,1.4%
04/05/22,@,MIN,W,132,114,27,25,8,1,11/17,3/5,0/0,77,22.5%,73,147.1,34,4.5%,,0.0%,57,72.7%,62,9.5%,52,18.5%,57,1.7%,,0.0%
04/03/22,@,BOS,L,102,144,26,17,7,1,5/15,2/3,5/5,95,32.4%,27,100.0,43,7.1%,50,11.4%,46,80.0%,54,8.0%,67,22.7%,,0.0%,,0.0%
04/01/22,vs.,DAL,W,135,103,30,24,9,4,8/18,2/4,6/7,95,32.0%,45,114.3,80,19.0%,,0.0%,69,62.5%,68,11.1%,64,21.7%,62,2.0%,88,3.1%
03/30/22,vs.,ORL,W,127,110,29,35,8,3,11/18,3/6,10/13,97,35.1%,73,145.8,73,16.7%,58,8.5%,57,72.7%,56,8.3%,33,13.5%,76,3.2%,,0.0%
03/29/22,vs.,CHI,L,94,107,29,14,10,5,6/14,0/3,2/2,91,28.3%,26,93.3,92,27.8%,48,11.8%,44,83.3%,36,4.8%,95,37.5%,91,5.5%,,0.0%
03/27/22,vs.,GSW,W,123,115,31,23,9,6,6/21,1/6,10/11,100,46.3%,24,88.5,90,26.1%,45,12.9%,59,66.7%,54,8.0%,62,21.2%,54,1.5%,66,1.5%
03/25/22,@,DET,W,100,97,32,30,10,3,11/22,3/8,5/7,96,34.0%,55,125.0,86,23.1%,59,8.2%,75,54.5%,42,5.9%,76,25.8%,76,3.2%,84,2.8%
03/24/22,@,MIL,L,102,114,32,16,9,3,6/12,2/6,2/2,64,19.6%,54,123.1,62,12.5%,40,14.8%,,100.0%,28,3.2%,88,32.0%,,0.0%,86,2.9%
03/21/22,@,HOU,L,97,115,32,22,13,4,7/18,0/3,8/8,93,30.1%,27,100.0,84,21.1%,65,4.5%,42,85.7%,73,12.1%,76,25.8%,98,8.6%,63,1.4%
03/19/22,vs.,LAL,W,127,119,26,27,3,5,9/17,1/3,8/10,99,40.0%,58,128.6,97,38.5%,56,9.1%,50,77.8%,36,4.8%,15,8.0%,,0.0%,71,1.8%
03/18/22,@,NYK,L,97,100,29,18,11,1,5/9,2/5,6/6,69,20.8%,74,150.0,36,5.3%,60,8.0%,87,40.0%,54,8.0%,71,24.3%,55,1.6%,,0.0%
03/16/22,vs.,DEN,L,109,127,23,15,7,1,5/10,0/2,5/7,84,25.0%,47,115.4,43,7.1%,40,14.8%,46,80.0%,86,16.7%,33,13.6%,93,6.0%,,0.0%
03/14/22,@,GSW,L,112,126,27,25,8,4,7/13,1/5,10/10,96,33.3%,68,138.9,88,25.0%,39,15.0%,42,85.7%,39,5.3%,85,30.4%,,0.0%,,0.0%
03/11/22,@,LAL,L,109,122,25,14,14,2,3/13,0/3,8/8,90,27.8%,20,82.4,57,10.5%,,0.0%,89,33.3%,90,18.5%,84,30.0%,61,1.9%,68,1.6%
