Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/29/22,vs.,BOS,L,96,100,39,13,7,3,4/12,1/6,4/7,32,20.6%,29,86.7,11,11.5%,45,11.4%,33,50.0%,62,2.4%,56,12.8%,78,1.4%,69,2.4%
05/27/22,@,BOS,W,111,103,37,18,4,10,5/14,4/9,4/4,49,26.9%,56,112.5,89,43.5%,52,9.5%,20,80.0%,,0.0%,65,14.3%,85,1.6%,49,1.3%
05/25/22,vs.,BOS,L,80,93,25,0,1,0,0/6,0/5,0/0,14,16.1%,0,0.0,,0.0%,2,33.3%,,,,0.0%,18,5.9%,,0.0%,,0.0%
05/23/22,@,BOS,L,82,102,21,3,5,2,1/6,1/3,0/0,24,18.8%,9,50.0,49,28.6%,17,22.2%,86,0.0%,,0.0%,91,25.0%,99,4.8%,,0.0%
05/21/22,@,BOS,W,109,103,29,11,1,6,4/11,2/7,1/1,41,23.8%,37,100.0,45,27.3%,38,12.9%,65,25.0%,,0.0%,16,5.3%,,0.0%,99,6.2%
05/08/22,@,PHI,L,108,116,30,6,3,7,3/10,0/6,0/0,39,23.2%,12,60.0,63,33.3%,12,24.2%,23,66.7%,,0.0%,62,13.6%,,0.0%,79,2.8%
05/06/22,@,PHI,L,79,99,25,0,4,3,0/4,0/2,0/0,8,12.5%,0,0.0,19,18.8%,29,15.4%,,,91,8.0%,59,13.3%,,0.0%,62,1.9%
04/22/22,@,ATL,L,110,111,23,6,4,5,2/7,2/6,0/0,20,17.6%,26,85.7,41,26.3%,,0.0%,33,50.0%,,0.0%,86,21.1%,,0.0%,,0.0%
04/19/22,vs.,ATL,W,115,105,37,9,3,2,2/7,1/5,4/5,13,15.2%,37,100.0,8,7.1%,14,24.0%,33,50.0%,,0.0%,29,8.3%,96,2.9%,,0.0%
04/17/22,vs.,ATL,W,115,91,29,10,4,9,4/8,2/4,0/0,18,17.2%,68,125.0,92,45.0%,,0.0%,,100.0%,,0.0%,63,13.8%,,0.0%,87,3.3%
04/08/22,vs.,ATL,W,113,109,31,16,5,3,7/10,2/3,0/1,35,22.3%,92,160.0,16,15.0%,17,20.7%,85,0.0%,,0.0%,72,14.8%,,0.0%,81,3.1%
04/03/22,@,TOR,W,114,109,35,16,6,10,4/8,2/4,6/7,35,22.4%,85,145.5,76,40.0%,50,11.8%,32,50.0%,75,3.7%,72,14.7%,,0.0%,49,1.3%
04/02/22,@,CHI,W,127,109,27,19,2,10,6/11,2/5,5/5,72,30.5%,86,146.2,86,45.5%,77,5.6%,52,33.3%,,0.0%,31,7.1%,,0.0%,,0.0%
03/30/22,@,BOS,W,106,98,36,23,0,8,8/16,6/12,1/2,42,23.8%,79,135.3,70,36.4%,79,5.1%,27,62.5%,,0.0%,0,0.0%,,0.0%,,0.0%
03/28/22,vs.,SAC,W,123,100,26,9,5,6,3/4,3/4,0/0,3,10.5%,99,225.0,46,27.3%,,0.0%,22,66.7%,78,4.2%,83,18.2%,,0.0%,61,1.8%
03/26/22,vs.,BKN,L,95,110,25,12,1,1,5/9,2/6,0/0,31,21.2%,76,133.3,6,8.3%,4,32.0%,47,40.0%,,0.0%,0,0.0%,,0.0%,61,1.7%
03/25/22,vs.,NYK,L,103,111,36,17,4,3,4/11,3/10,6/6,32,21.5%,65,121.4,14,14.3%,74,6.5%,32,50.0%,,0.0%,59,12.1%,,0.0%,53,1.4%
03/23/22,vs.,GSW,L,104,118,38,24,1,9,8/13,6/9,2/2,21,18.5%,95,171.4,69,36.0%,,0.0%,19,75.0%,,0.0%,13,3.4%,,0.0%,42,1.2%
