Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,ATL,L,103,132,38,26,5,8,7/24,4/13,8/10,85,36.3%,33,92.9,71,34.8%,54,9.1%,31,57.1%,83,5.0%,29,8.1%,,0.0%,39,1.1%
04/10/22,vs.,WAS,W,124,108,29,24,10,9,8/16,6/7,2/2,92,38.6%,87,150.0,76,39.1%,6,29.6%,50,37.5%,76,3.8%,97,28.6%,,0.0%,54,1.4%
04/08/22,@,CHI,W,133,117,29,24,5,9,8/16,5/9,3/3,89,36.7%,83,141.2,60,33.3%,28,17.0%,32,50.0%,85,5.6%,87,20.0%,,0.0%,,0.0%
04/07/22,vs.,ORL,W,128,101,35,26,8,9,10/21,4/10,2/2,81,32.9%,61,118.2,79,40.9%,52,11.1%,32,50.0%,,0.0%,87,20.0%,,0.0%,94,4.9%
04/05/22,@,MIA,L,115,144,33,18,5,14,7/13,4/9,0/0,67,29.3%,81,138.5,90,48.3%,24,18.2%,30,57.1%,77,4.0%,76,16.0%,,0.0%,50,1.3%
04/02/22,@,PHI,L,114,144,28,13,2,5,5/11,3/5,0/0,63,28.6%,61,118.2,52,29.4%,3,33.3%,27,60.0%,,0.0%,57,11.8%,,0.0%,82,3.2%
03/30/22,@,NYK,W,125,114,37,20,5,15,8/17,1/8,3/3,89,36.6%,53,111.1,90,50.0%,19,20.0%,50,37.5%,75,3.7%,42,9.1%,,0.0%,87,3.7%
03/28/22,vs.,DEN,L,109,113,34,22,6,11,8/20,4/11,2/2,83,33.5%,46,104.8,84,44.0%,52,11.3%,19,75.0%,96,8.8%,41,8.8%,,0.0%,74,2.5%
03/27/22,@,BKN,W,119,110,37,33,7,9,10/20,7/11,6/8,63,28.7%,84,143.5,66,34.6%,81,3.9%,27,60.0%,59,2.5%,59,12.2%,,0.0%,84,3.4%
03/25/22,vs.,UTA,W,107,101,34,21,4,5,9/22,2/6,1/1,79,32.2%,34,95.5,44,26.3%,67,8.2%,44,44.4%,63,2.8%,52,11.1%,,0.0%,76,2.6%
03/23/22,vs.,NYK,L,106,121,39,32,9,5,13/23,6/14,0/0,70,30.1%,81,139.1,33,22.7%,37,15.1%,44,46.2%,59,2.6%,95,25.0%,,0.0%,40,1.1%
03/21/22,vs.,NOP,W,106,103,32,17,4,9,6/11,4/8,1/1,29,20.7%,90,154.5,76,39.1%,72,6.9%,22,66.7%,,0.0%,55,11.4%,97,3.1%,,0.0%
03/19/22,vs.,DAL,W,129,108,25,14,3,6,5/9,4/7,0/0,25,19.4%,91,155.6,54,30.0%,,0.0%,27,60.0%,81,4.8%,40,8.7%,92,2.3%,99,7.4%
03/16/22,vs.,ATL,W,116,106,36,22,8,11,7/16,5/10,3/3,65,29.0%,73,129.4,68,35.5%,46,12.8%,30,57.1%,,0.0%,89,21.1%,80,1.4%,45,1.2%
03/14/22,@,OKC,W,134,116,30,21,4,7,6/13,5/8,4/4,71,30.2%,82,140.0,46,26.9%,34,15.8%,17,83.3%,,0.0%,68,14.3%,,0.0%,82,3.2%
03/11/22,@,NOP,W,142,120,31,17,6,9,6/12,2/7,3/4,46,24.7%,65,121.4,57,31.0%,77,5.6%,32,50.0%,,0.0%,89,20.7%,,0.0%,90,4.1%
03/09/22,vs.,BOS,L,101,115,28,15,8,4,6/12,0/4,3/3,67,29.4%,57,115.4,45,26.7%,5,30.0%,52,33.3%,71,3.3%,92,22.6%,85,1.6%,,0.0%
03/08/22,vs.,BKN,L,121,132,30,24,5,7,9/22,2/8,4/5,89,36.4%,35,100.0,59,31.8%,39,14.3%,19,77.8%,90,6.5%,64,13.0%,,0.0%,76,2.6%
03/05/22,vs.,SAS,W,123,117,29,24,8,6,7/16,4/9,6/6,88,35.8%,71,126.3,72,37.5%,29,16.7%,30,57.1%,74,3.6%,89,20.6%,85,1.6%,,0.0%
03/02/22,@,CLE,W,119,98,8,2,0,4,0/3,0/1,2/2,87,35.0%,8,50.0,97,57.1%,39,14.3%,,,,0.0%,0,0.0%,,0.0%,100,10.0%
02/28/22,@,MIL,L,106,130,26,22,3,2,8/16,4/7,2/2,66,29.2%,73,129.4,19,16.7%,77,5.7%,50,37.5%,68,3.1%,31,7.1%,,0.0%,60,1.7%
02/27/22,vs.,DET,L,126,127,38,17,7,7,6/24,3/8,2/2,85,34.3%,15,68.0,52,29.2%,60,9.8%,52,33.3%,65,2.9%,64,13.0%,93,2.4%,39,1.1%
02/25/22,vs.,TOR,W,125,93,26,13,5,6,5/14,2/6,1/1,86,34.7%,32,92.9,54,30.0%,7,27.9%,27,60.0%,77,4.0%,68,14.3%,,0.0%,60,1.6%
02/17/22,vs.,MIA,L,107,111,39,14,10,14,5/15,1/9,3/4,85,34.4%,27,87.5,98,58.3%,24,18.2%,72,20.0%,87,5.9%,91,21.6%,82,1.4%,,0.0%
02/15/22,@,MIN,L,120,126,41,22,9,6,8/22,3/8,3/5,50,25.5%,34,95.7,38,25.0%,67,8.0%,19,75.0%,57,2.2%,74,15.4%,75,1.1%,36,1.0%
02/12/22,vs.,MEM,L,118,125,33,25,4,2,8/20,5/12,4/4,54,26.4%,56,113.6,7,10.0%,29,16.7%,19,75.0%,57,2.3%,51,10.7%,,0.0%,38,1.1%
02/11/22,@,DET,W,141,119,32,31,5,12,10/14,7/9,4/5,49,25.3%,98,193.8,82,42.9%,61,9.5%,27,60.0%,97,10.3%,25,6.2%,,0.0%,94,4.8%
02/09/22,vs.,CHI,L,109,121,38,33,9,5,12/25,5/10,4/6,86,34.6%,61,117.9,33,22.7%,46,12.7%,32,50.0%,91,7.1%,90,21.4%,,0.0%,92,4.4%
02/07/22,vs.,TOR,L,101,116,44,15,4,9,5/19,1/6,4/5,66,29.2%,16,71.4,49,28.1%,13,22.2%,47,40.0%,87,5.8%,10,2.6%,,0.0%,88,3.7%
02/05/22,vs.,MIA,L,86,104,22,12,6,3,5/11,2/6,0/0,34,22.1%,51,109.1,60,33.3%,64,8.7%,18,80.0%,,0.0%,95,25.0%,,0.0%,,0.0%
02/04/22,vs.,CLE,L,101,102,32,15,6,3,5/14,2/3,3/3,58,27.3%,35,100.0,25,20.0%,6,29.3%,18,80.0%,59,2.5%,68,13.9%,,0.0%,,0.0%
02/02/22,@,BOS,L,107,113,39,38,6,9,12/24,4/10,10/13,94,39.6%,71,126.7,94,52.9%,66,8.3%,65,25.0%,84,5.1%,60,12.5%,,0.0%,67,2.2%
01/30/22,vs.,LAC,L,90,115,38,23,6,10,8/19,1/6,6/6,53,26.3%,46,104.5,89,47.6%,,0.0%,50,37.5%,56,1.9%,75,15.6%,,0.0%,36,1.0%
01/28/22,vs.,LAL,W,117,114,34,20,7,2,7/18,2/8,4/6,54,26.5%,34,95.2,7,8.7%,80,4.7%,45,42.9%,68,3.1%,60,12.5%,82,1.4%,45,1.2%
01/26/22,@,IND,W,158,126,37,29,9,12,11/16,3/4,4/5,55,26.6%,95,170.6,70,36.4%,32,16.3%,44,45.5%,76,3.8%,87,20.0%,75,1.2%,38,1.1%
01/25/22,@,TOR,L,113,125,32,23,3,7,7/15,1/5,8/9,85,34.2%,65,121.1,80,41.2%,33,16.0%,45,42.9%,71,3.3%,36,8.0%,,0.0%,52,1.4%
01/23/22,vs.,ATL,L,91,113,34,19,6,4,6/16,0/7,7/7,75,31.4%,33,95.0,24,19.0%,32,16.3%,32,50.0%,72,3.4%,78,16.7%,85,1.6%,,0.0%
01/21/22,vs.,OKC,W,121,98,26,10,9,8,4/12,2/6,0/0,51,25.8%,23,83.3,88,47.1%,74,6.5%,19,75.0%,97,10.0%,75,15.6%,89,1.8%,,0.0%
01/19/22,@,BOS,W,111,102,32,15,10,10,5/15,3/6,2/2,86,34.8%,33,93.8,83,43.5%,6,29.1%,27,60.0%,98,11.4%,84,18.8%,86,1.6%,,0.0%
01/14/22,vs.,ORL,L,109,116,30,23,4,8,8/18,3/7,4/4,85,34.5%,57,115.0,88,47.1%,50,11.8%,50,37.5%,89,6.2%,38,8.3%,,0.0%,90,4.1%
01/12/22,@,PHI,W,109,98,36,13,7,8,5/15,0/7,3/3,57,27.0%,23,81.3,34,22.9%,79,5.0%,47,40.0%,,0.0%,96,26.9%,,0.0%,51,1.4%
01/10/22,vs.,MIL,W,103,99,35,23,5,3,8/18,4/11,3/3,59,27.7%,65,121.1,14,14.3%,27,17.4%,50,37.5%,94,7.9%,25,6.2%,,0.0%,,0.0%
01/08/22,vs.,MIL,W,114,106,26,19,9,8,8/19,2/7,1/2,90,36.8%,33,95.0,85,44.4%,67,8.0%,65,25.0%,89,6.2%,94,24.1%,,0.0%,56,1.5%
01/05/22,vs.,DET,W,140,111,30,12,8,12,4/11,3/9,1/2,76,31.5%,35,100.0,89,48.0%,21,19.5%,19,75.0%,,0.0%,91,21.9%,87,1.7%,58,1.5%
01/03/22,@,WAS,L,121,124,31,18,4,2,8/21,2/9,0/1,61,28.1%,26,85.7,5,7.7%,63,8.9%,50,37.5%,60,2.6%,58,12.0%,,0.0%,,0.0%
01/02/22,vs.,PHX,L,99,133,23,17,3,1,5/12,3/6,4/6,56,26.9%,65,121.4,7,9.1%,72,6.9%,47,40.0%,,0.0%,64,13.0%,89,1.9%,,0.0%
12/29/21,@,IND,W,116,108,34,21,12,9,8/13,1/4,4/5,55,26.8%,82,140.0,69,36.0%,25,17.8%,65,25.0%,100,16.7%,80,17.1%,,0.0%,42,1.2%
