Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/26/22,@,GSW,L,110,120,40,28,9,6,10/28,3/13,5/7,98,46.8%,32,90.3,60,31.6%,46,11.0%,60,30.0%,67,2.9%,82,20.0%,,0.0%,49,1.3%
05/24/22,vs.,GSW,W,119,109,38,30,14,9,10/26,3/11,7/10,98,46.8%,36,96.8,77,37.5%,61,8.2%,49,40.0%,,0.0%,94,26.5%,94,2.8%,77,2.6%
05/22/22,vs.,GSW,L,100,109,40,37,11,3,10/22,3/8,14/17,89,38.2%,67,123.3,31,23.1%,54,9.2%,49,40.0%,,0.0%,98,31.4%,93,2.5%,43,1.2%
05/20/22,@,GSW,L,117,126,38,42,5,8,12/23,5/10,13/15,93,42.5%,80,140.0,95,50.0%,72,5.9%,54,33.3%,,0.0%,59,13.3%,81,1.4%,93,3.8%
05/18/22,@,GSW,L,87,112,35,20,7,4,6/18,3/10,5/8,87,37.0%,34,95.2,49,28.6%,11,24.6%,33,50.0%,,0.0%,96,29.2%,,0.0%,50,1.3%
05/15/22,@,PHX,W,123,90,30,35,10,4,12/19,6/11,5/5,91,40.2%,92,166.7,34,23.5%,62,8.2%,84,8.3%,83,5.0%,95,27.3%,,0.0%,87,3.3%
05/12/22,vs.,PHX,W,113,86,35,33,11,8,11/26,2/8,9/14,100,48.6%,44,103.1,99,53.3%,78,2.8%,77,18.2%,69,3.1%,97,31.0%,,0.0%,98,5.4%
05/10/22,@,PHX,L,80,110,35,28,11,2,10/23,2/8,6/7,93,41.2%,47,107.7,29,22.2%,37,13.1%,81,10.0%,69,3.1%,93,25.8%,,0.0%,94,4.1%
05/08/22,vs.,PHX,W,111,101,37,24,7,11,9/25,1/10,5/6,96,46.3%,26,85.7,95,50.0%,48,10.7%,86,0.0%,,0.0%,78,17.6%,,0.0%,72,2.5%
05/06/22,vs.,PHX,W,103,94,34,26,13,9,11/25,2/7,2/5,99,48.6%,37,100.0,87,42.9%,32,14.3%,83,9.1%,95,9.4%,98,31.2%,,0.0%,78,2.8%
05/04/22,@,PHX,L,109,129,36,35,5,7,13/22,5/10,4/5,96,45.4%,83,145.8,95,50.0%,20,20.3%,86,0.0%,72,3.4%,86,21.1%,,0.0%,51,1.3%
05/02/22,@,PHX,L,114,121,44,45,12,8,15/30,4/11,11/14,99,47.4%,68,125.0,74,36.4%,46,11.1%,86,0.0%,84,5.1%,89,23.3%,75,1.2%,,0.0%
04/28/22,@,UTA,W,98,96,42,24,9,8,8/21,4/10,4/4,81,34.9%,44,104.3,59,30.8%,51,10.3%,65,25.0%,,0.0%,85,20.9%,92,2.5%,70,2.4%
04/25/22,vs.,UTA,W,102,77,33,33,13,5,11/22,3/10,8/12,97,46.5%,65,122.2,60,31.2%,31,15.2%,64,27.3%,,0.0%,99,38.2%,87,1.8%,,0.0%
04/23/22,@,UTA,L,99,100,34,30,10,4,11/21,4/10,4/4,90,40.1%,74,130.4,63,33.3%,32,14.0%,83,9.1%,,0.0%,51,11.8%,,0.0%,79,2.8%
04/10/22,vs.,SAS,W,130,120,29,26,8,9,8/18,2/5,8/8,96,41.7%,67,123.8,82,42.9%,39,14.5%,32,50.0%,83,5.0%,92,22.6%,87,1.7%,81,3.0%
04/08/22,vs.,POR,W,128,78,30,39,11,7,12/20,7/13,8/11,100,50.0%,91,156.0,75,38.9%,36,15.2%,84,8.3%,,0.0%,99,32.4%,89,1.8%,,0.0%
04/06/22,@,DET,W,131,113,34,26,8,14,8/21,2/11,8/13,100,54.2%,35,96.3,95,53.8%,34,15.4%,65,25.0%,80,4.5%,85,18.9%,,0.0%,53,1.4%
04/03/22,@,MIL,W,118,112,39,32,8,15,9/22,3/9,11/14,100,50.6%,56,114.3,96,55.6%,39,14.5%,85,0.0%,,0.0%,78,16.7%,,0.0%,87,3.7%
04/01/22,@,WAS,L,103,135,36,36,7,6,11/22,4/9,10/10,99,46.0%,76,133.3,76,40.0%,39,14.5%,83,9.1%,,0.0%,84,18.8%,78,1.3%,,0.0%
03/30/22,@,CLE,W,120,112,38,35,9,13,14/26,3/6,4/4,98,43.8%,74,129.6,94,52.0%,65,8.6%,72,21.4%,,0.0%,90,21.2%,94,2.6%,47,1.2%
03/29/22,vs.,LAL,W,128,110,30,34,12,12,12/23,4/12,6/7,100,50.0%,75,130.8,97,57.1%,83,3.0%,85,0.0%,99,12.0%,99,33.3%,,0.0%,57,1.5%
03/27/22,vs.,UTA,W,114,100,33,32,10,5,11/21,4/7,6/9,98,43.9%,76,133.3,60,33.3%,57,10.3%,83,9.1%,77,4.0%,89,20.6%,,0.0%,,0.0%
03/25/22,@,MIN,L,95,116,37,24,10,8,8/18,5/11,3/5,76,31.7%,63,120.0,90,50.0%,51,11.5%,65,25.0%,,0.0%,96,26.7%,,0.0%,44,1.2%
03/21/22,vs.,MIN,W,110,108,38,15,6,10,5/17,3/11,2/4,93,38.9%,21,78.9,74,38.5%,9,25.4%,72,20.0%,,0.0%,46,10.0%,,0.0%,45,1.2%
03/19/22,@,CHA,L,108,129,30,37,4,3,13/20,8/12,3/5,96,40.9%,95,168.2,72,37.5%,38,14.8%,84,7.7%,,0.0%,64,13.0%,,0.0%,,0.0%
03/18/22,@,PHI,L,101,111,35,17,7,10,5/20,2/10,5/9,99,46.6%,16,70.8,94,52.6%,38,14.7%,85,0.0%,68,3.1%,93,23.1%,88,1.7%,,0.0%
03/16/22,@,BKN,W,113,111,39,37,9,9,14/26,5/12,4/4,97,42.2%,76,132.1,98,60.0%,51,11.4%,72,21.4%,,0.0%,82,17.9%,78,1.3%,72,2.4%
03/13/22,@,BOS,W,95,92,39,26,8,8,8/16,4/10,6/6,87,35.1%,84,144.4,70,36.4%,23,18.5%,85,0.0%,,0.0%,80,17.1%,,0.0%,89,3.9%
03/11/22,@,HOU,W,113,100,36,30,14,6,9/19,5/11,7/10,88,36.1%,74,130.4,43,26.1%,29,16.7%,70,22.2%,66,3.0%,100,37.5%,96,2.9%,,0.0%
03/09/22,vs.,NYK,L,77,107,34,31,6,4,12/25,3/11,4/7,96,40.9%,53,110.7,85,44.4%,75,6.3%,84,8.3%,91,7.1%,23,5.9%,81,1.4%,49,1.3%
03/07/22,vs.,UTA,W,111,103,38,35,16,7,12/23,5/11,6/7,92,38.2%,78,134.6,75,38.9%,62,9.2%,85,0.0%,58,2.4%,99,30.6%,83,1.5%,86,3.5%
03/03/22,vs.,GSW,W,122,113,40,41,10,9,15/26,4/10,7/9,98,43.5%,83,141.4,72,37.5%,32,16.2%,52,33.3%,90,6.5%,92,22.6%,,0.0%,71,2.4%
03/01/22,@,LAL,W,109,104,38,25,8,5,9/21,0/5,7/11,97,42.6%,34,96.2,36,23.8%,27,17.4%,85,0.0%,71,3.3%,91,21.9%,96,3.0%,45,1.2%
02/27/22,@,GSW,W,107,101,36,34,11,2,10/21,3/9,11/12,99,45.6%,70,125.9,11,12.5%,10,24.7%,83,10.0%,65,2.9%,90,21.4%,77,1.3%,74,2.5%
02/25/22,@,UTA,L,109,114,35,23,7,11,8/24,3/9,4/4,99,46.7%,28,88.5,96,55.0%,51,11.4%,81,12.5%,85,5.6%,83,18.2%,,0.0%,50,1.3%
02/17/22,@,NOP,W,125,118,38,49,15,8,17/35,7/14,8/12,100,59.0%,67,122.5,81,42.1%,57,10.2%,85,0.0%,71,3.3%,99,31.6%,76,1.3%,,0.0%
02/15/22,@,MIA,W,107,99,38,21,10,6,5/19,2/7,9/12,94,39.7%,25,84.0,54,30.0%,60,9.7%,85,0.0%,66,3.0%,94,24.3%,79,1.4%,,0.0%
02/12/22,vs.,LAC,L,97,99,39,45,15,8,15/33,6/13,9/13,100,54.5%,62,118.4,95,53.3%,39,14.4%,85,6.7%,,0.0%,100,42.4%,,0.0%,,0.0%
02/10/22,vs.,LAC,W,112,105,40,51,9,6,17/26,7/14,10/14,100,47.1%,90,154.5,72,37.5%,28,17.1%,70,23.5%,,0.0%,90,21.2%,79,1.4%,40,1.1%
02/08/22,vs.,DET,W,116,86,33,33,7,11,9/18,5/9,10/14,100,50.0%,76,132.0,90,50.0%,41,14.1%,85,0.0%,,0.0%,85,18.9%,96,3.0%,53,1.4%
02/06/22,vs.,ATL,W,103,94,28,18,10,11,6/17,1/3,5/6,94,39.7%,33,94.7,98,61.1%,81,4.0%,76,16.7%,97,10.3%,84,18.8%,,0.0%,59,1.6%
02/04/22,vs.,PHI,W,107,98,40,33,13,15,13/28,1/6,6/9,98,44.4%,48,106.5,99,65.2%,70,7.5%,70,23.1%,94,8.1%,99,31.0%,,0.0%,68,2.2%
02/02/22,vs.,OKC,L,114,120,43,40,6,10,16/33,5/13,3/4,98,44.0%,56,114.3,94,52.6%,70,7.4%,60,31.2%,58,2.3%,60,12.5%,,0.0%,83,3.3%
01/30/22,@,ORL,L,108,110,38,34,12,10,13/22,4/9,4/6,96,41.6%,79,136.0,96,55.6%,27,17.4%,70,23.1%,,0.0%,97,27.3%,,0.0%,43,1.2%
01/29/22,vs.,IND,W,132,105,30,28,6,11,11/20,4/9,2/7,95,40.1%,65,121.7,90,50.0%,82,3.5%,75,18.2%,,0.0%,68,13.9%,97,3.1%,53,1.4%
01/26/22,@,POR,W,132,112,37,15,10,15,4/11,2/6,5/8,69,29.9%,48,107.1,90,50.0%,48,12.2%,85,0.0%,,0.0%,92,22.6%,,0.0%,44,1.2%
01/25/22,@,GSW,L,92,130,27,25,8,3,7/17,4/7,7/7,91,37.7%,68,125.0,54,30.0%,64,8.7%,79,14.3%,69,3.2%,95,25.0%,,0.0%,,0.0%
01/23/22,vs.,MEM,W,104,91,38,37,11,9,13/25,2/7,9/12,99,46.4%,63,119.4,94,52.9%,46,12.8%,70,23.1%,69,3.2%,78,16.7%,75,1.2%,86,3.6%
01/20/22,vs.,PHX,L,101,109,38,25,8,8,8/22,1/8,8/11,97,42.0%,34,96.2,74,38.1%,15,21.6%,65,25.0%,60,2.6%,83,18.4%,,0.0%,,0.0%
01/19/22,vs.,TOR,W,102,98,42,41,14,7,13/24,4/10,11/12,91,37.5%,83,141.4,71,36.8%,51,11.6%,60,30.8%,85,5.6%,93,23.4%,,0.0%,38,1.1%
01/17/22,vs.,OKC,W,104,102,39,20,11,12,4/17,0/6,12/14,84,34.1%,23,83.3,87,46.2%,74,6.5%,32,50.0%,84,5.1%,93,23.1%,99,4.1%,83,3.3%
01/15/22,vs.,ORL,W,108,92,31,23,9,3,7/19,1/6,8/9,91,37.5%,35,100.0,24,18.8%,81,3.9%,85,0.0%,74,3.6%,97,27.6%,,0.0%,,0.0%
01/14/22,@,MEM,W,112,85,32,27,12,10,12/22,0/6,3/4,99,44.6%,60,117.4,96,55.6%,24,18.2%,76,16.7%,68,3.1%,96,27.0%,,0.0%,,0.0%
01/12/22,@,NYK,L,85,108,36,21,11,5,8/23,1/9,4/6,98,44.0%,22,80.8,68,35.7%,36,15.2%,81,12.5%,63,2.8%,96,25.7%,,0.0%,77,2.7%
