Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,ATL,L,103,132,11,3,4,2,1/1,0/0,1/2,47,14.3%,72,150.0,92,28.6%,21,25.0%,93,0.0%,86,15.4%,58,20.0%,,0.0%,,0.0%
04/10/22,vs.,WAS,W,124,108,21,8,8,2,4/6,0/0,0/2,48,16.3%,45,114.3,73,16.7%,16,25.0%,,100.0%,36,4.8%,70,23.8%,86,4.3%,,0.0%
04/08/22,@,CHI,W,133,117,20,8,3,3,3/3,0/0,2/2,29,13.1%,92,200.0,67,13.6%,29,18.2%,59,66.7%,56,8.3%,50,18.2%,,0.0%,96,4.8%
04/07/22,vs.,ORL,W,128,101,15,4,6,1,1/2,0/0,2/4,67,20.3%,27,100.0,54,10.0%,4,40.0%,95,0.0%,94,21.4%,68,23.1%,96,6.9%,,0.0%
04/05/22,@,MIA,L,115,144,20,4,6,2,2/2,0/0,0/2,11,8.9%,61,133.3,48,8.3%,16,25.0%,,100.0%,59,9.1%,83,29.4%,,0.0%,77,2.2%
04/02/22,@,PHI,L,114,144,20,11,3,4,5/6,0/0,1/2,57,18.1%,80,157.1,99,50.0%,19,23.5%,,100.0%,42,5.9%,12,6.7%,,0.0%,,0.0%
03/30/22,@,NYK,W,125,114,24,6,4,3,3/6,0/0,0/0,45,15.7%,27,100.0,73,15.8%,19,23.5%,59,66.7%,62,9.5%,17,8.7%,,0.0%,72,1.9%
03/28/22,vs.,DEN,L,109,113,25,5,2,2,2/2,0/0,1/1,2,3.6%,99,250.0,54,10.0%,,0.0%,,100.0%,,0.0%,15,8.0%,59,1.8%,91,3.6%
03/27/22,@,BKN,W,119,110,27,7,8,1,3/7,0/0,1/1,32,13.6%,27,100.0,34,4.8%,8,33.3%,,100.0%,77,13.3%,28,12.5%,55,1.6%,,0.0%
03/25/22,vs.,UTA,W,107,101,16,1,11,4,0/1,0/0,1/2,34,13.9%,8,50.0,95,33.3%,25,20.0%,,,96,23.5%,93,35.3%,,0.0%,,0.0%
