Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,vs.,MIA,W,125,111,28,21,10,1,7/11,5/9,2/3,45,15.8%,88,175.0,34,4.5%,,0.0%,42,85.7%,59,9.1%,64,21.9%,79,3.4%,,0.0%
04/07/22,@,CHA,L,101,128,5,2,2,2,1/2,0/1,0/0,,25.0%,,100.0,,40.0%,,0.0%,,100.0%,,0.0%,,40.0%,,0.0%,,0.0%
04/05/22,vs.,CLE,W,120,115,29,21,12,3,7/14,5/9,2/4,75,22.0%,61,131.3,68,14.3%,,0.0%,42,85.7%,66,10.3%,81,28.0%,99,10.2%,,0.0%
04/03/22,vs.,NYK,L,88,118,29,13,12,0,5/13,3/8,0/0,64,19.5%,27,100.0,,0.0%,60,8.0%,70,60.0%,42,5.9%,93,35.7%,,0.0%,,0.0%
04/01/22,vs.,TOR,L,89,102,33,15,10,6,6/11,1/4,2/2,56,17.9%,55,125.0,93,30.0%,,0.0%,44,83.3%,51,7.4%,62,21.2%,89,4.8%,,0.0%
03/30/22,@,WAS,L,110,127,22,10,5,1,4/9,2/6,0/0,41,15.1%,43,111.1,42,6.7%,,0.0%,51,75.0%,49,7.1%,42,15.8%,,0.0%,73,1.9%
03/28/22,@,CLE,L,101,107,23,11,4,0,4/6,3/4,0/0,9,8.3%,91,183.3,,0.0%,,0.0%,,100.0%,42,5.9%,35,14.3%,,0.0%,,0.0%
03/26/22,vs.,SAC,L,110,114,34,18,13,0,7/14,4/6,0/0,52,17.1%,58,128.6,,0.0%,37,15.4%,42,85.7%,63,10.0%,61,21.1%,52,1.4%,82,2.6%
03/23/22,@,OKC,L,102,118,22,11,10,1,5/12,1/4,0/0,67,20.2%,26,91.7,39,5.9%,57,8.7%,46,80.0%,76,13.0%,78,26.9%,87,4.4%,,0.0%
03/22/22,vs.,GSW,W,94,90,24,7,7,3,2/7,1/4,2/4,91,28.7%,18,77.8,79,18.8%,11,29.6%,,100.0%,40,5.6%,60,20.7%,83,3.9%,,0.0%
