Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
01/14/22,vs.,PHX,L,94,112,28,5,7,0,2/9,0/3,1/2,42,15.3%,8,50.0,,0.0%,,0.0%,75,50.0%,59,8.8%,34,13.8%,80,3.6%,96,4.8%
01/12/22,vs.,BOS,L,100,119,24,18,4,1,8/14,0/5,2/2,89,27.1%,50,120.0,45,7.7%,,0.0%,69,62.5%,59,9.1%,35,14.3%,66,2.3%,,0.0%
01/10/22,@,BOS,L,98,101,23,6,3,0,2/7,0/4,2/2,58,18.3%,16,75.0,,0.0%,24,21.1%,75,50.0%,30,3.6%,17,8.7%,95,6.7%,92,3.8%
01/08/22,vs.,UTA,W,125,113,28,8,6,2,3/8,0/1,2/4,75,22.1%,18,80.0,53,9.5%,21,22.2%,89,33.3%,34,4.3%,64,21.7%,98,8.2%,,0.0%
01/05/22,vs.,BKN,L,121,129,31,14,4,1,5/10,1/4,3/3,30,13.2%,58,127.3,34,4.5%,,0.0%,,100.0%,,0.0%,34,13.8%,97,7.6%,65,1.5%
01/04/22,@,NYK,L,94,104,33,5,7,1,2/4,0/2,1/1,7,7.5%,55,125.0,37,5.6%,25,20.0%,75,50.0%,30,3.6%,62,21.4%,76,3.2%,,0.0%
01/02/22,@,CLE,L,104,108,37,12,10,3,4/11,2/5,2/4,67,20.3%,26,92.3,58,11.1%,29,18.8%,51,75.0%,83,15.2%,31,12.9%,86,4.3%,81,2.5%
12/31/21,vs.,CHI,L,106,108,18,10,6,1,2/5,1/3,5/6,60,18.8%,55,125.0,58,11.1%,,0.0%,,100.0%,66,10.5%,56,20.0%,69,2.6%,,0.0%
12/29/21,vs.,CHA,L,108,116,32,14,5,1,5/11,3/6,1/1,42,15.4%,58,127.3,36,5.3%,16,25.0%,,100.0%,28,3.2%,23,10.7%,93,5.9%,,0.0%
12/26/21,@,CHI,L,105,113,36,19,5,2,9/18,0/4,1/2,64,19.6%,27,100.0,48,8.3%,,0.0%,50,77.8%,25,2.5%,43,16.0%,76,3.1%,59,1.2%
12/23/21,vs.,HOU,W,118,106,37,32,10,1,14/18,1/2,3/3,72,21.3%,87,168.4,34,4.5%,50,11.4%,73,57.1%,48,6.9%,62,21.2%,74,3.0%,59,1.2%
