Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,MIL,L,100,116,33,20,0,0,8/12,4/7,0/0,65,17.8%,82,166.7,,0.0%,17,29.6%,74,62.5%,,0.0%,0,0.0%,59,1.5%,,0.0%
04/24/22,vs.,MIL,L,95,119,33,20,10,0,7/13,3/6,3/3,60,16.9%,68,142.9,,0.0%,,0.0%,76,57.1%,60,8.3%,55,18.8%,,0.0%,,0.0%
04/22/22,vs.,MIL,L,81,111,24,0,2,0,0/8,0/4,0/0,68,18.0%,2,0.0,,0.0%,49,11.1%,,,36,3.4%,9,4.8%,70,2.3%,78,2.0%
04/20/22,@,MIL,W,114,110,32,10,9,3,5/9,0/2,0/0,39,12.5%,43,111.1,68,13.0%,49,11.1%,,100.0%,33,2.9%,84,29.6%,61,1.6%,68,1.4%
04/17/22,@,MIL,L,86,93,23,5,3,0,1/3,0/2,3/4,25,10.0%,27,100.0,,0.0%,34,18.2%,,100.0%,,0.0%,23,10.0%,,0.0%,91,3.6%
04/10/22,@,MIN,W,124,120,41,35,4,4,10/21,3/4,12/14,95,31.5%,60,129.6,73,16.7%,37,15.9%,75,50.0%,,0.0%,22,10.3%,50,1.1%,,0.0%
04/08/22,vs.,CHA,L,117,133,26,15,4,3,4/7,2/2,5/6,63,19.4%,74,150.0,77,17.6%,55,9.5%,,100.0%,44,6.2%,39,15.0%,61,1.9%,,0.0%
04/06/22,vs.,BOS,L,94,117,23,3,4,0,1/5,0/2,1/2,48,16.3%,8,50.0,,0.0%,16,25.0%,95,0.0%,36,4.8%,49,17.6%,,0.0%,,0.0%
04/05/22,vs.,MIL,L,106,127,30,14,6,0,6/8,2/4,0/0,14,9.6%,88,175.0,,0.0%,40,14.3%,59,66.7%,63,9.8%,13,7.1%,,0.0%,,0.0%
04/02/22,vs.,MIA,L,109,127,28,11,6,2,4/6,1/1,2/2,24,11.9%,80,157.1,62,12.5%,40,14.3%,,100.0%,,0.0%,55,19.2%,82,3.8%,69,1.7%
03/31/22,vs.,LAC,W,135,130,37,10,12,0,4/4,2/2,0/0,1,2.4%,99,250.0,,0.0%,,0.0%,,100.0%,51,7.3%,79,27.3%,73,2.9%,58,1.2%
03/29/22,@,WAS,W,107,94,25,6,7,0,2/5,0/1,2/3,20,11.1%,27,100.0,,0.0%,,0.0%,95,0.0%,79,14.3%,65,22.2%,,0.0%,72,1.9%
03/28/22,@,NYK,L,104,109,13,0,2,0,0/0,0/0,0/0,1,3.1%,0,,,0.0%,1,100.0%,,,52,7.7%,18,9.1%,86,4.3%,88,3.1%
03/26/22,@,CLE,W,98,94,14,4,4,1,2/4,0/1,0/0,40,15.0%,27,100.0,58,11.1%,21,22.2%,,100.0%,,0.0%,69,23.5%,,0.0%,,0.0%
03/24/22,@,NOP,L,109,126,17,2,2,1,1/2,0/1,0/2,21,11.4%,12,66.7,42,6.7%,16,25.0%,,100.0%,59,9.1%,14,7.7%,,0.0%,,0.0%
03/22/22,@,MIL,L,98,126,14,3,2,0,1/3,1/2,0/0,9,8.3%,27,100.0,,0.0%,,0.0%,,100.0%,,0.0%,44,16.7%,,0.0%,,0.0%
03/21/22,vs.,TOR,W,113,99,17,7,2,0,3/7,1/3,0/0,47,16.2%,27,100.0,,0.0%,,0.0%,59,66.7%,47,6.7%,10,5.9%,,0.0%,83,2.7%
10/28/21,vs.,NYK,L,103,104,16,6,2,0,2/5,0/1,2/2,47,16.2%,27,100.0,,0.0%,,0.0%,75,50.0%,,0.0%,28,12.5%,,0.0%,86,2.9%
10/25/21,@,TOR,W,111,108,26,4,0,2,2/3,0/0,0/0,4,5.7%,61,133.3,61,11.8%,,0.0%,,100.0%,,0.0%,0,0.0%,85,4.3%,73,1.9%
10/23/21,vs.,DET,W,97,82,30,9,4,1,4/7,1/3,0/0,14,9.7%,58,128.6,37,5.6%,37,15.4%,,100.0%,,0.0%,34,13.8%,,0.0%,,0.0%
10/22/21,vs.,NOP,W,128,112,23,8,4,0,3/5,2/2,0/0,4,6.1%,82,160.0,,0.0%,,0.0%,,100.0%,35,4.5%,23,11.1%,,0.0%,70,1.8%
10/20/21,@,DET,W,94,88,28,6,1,0,2/3,0/0,2/2,4,6.2%,74,150.0,,0.0%,16,25.0%,,100.0%,,0.0%,7,3.1%,,0.0%,,0.0%
