Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/12/22,@,MIN,L,104,109,41,34,7,5,10/24,6/12,8/11,98,35.3%,55,117.2,91,27.8%,51,9.2%,88,40.0%,,0.0%,64,15.0%,,0.0%,86,3.3%
04/09/22,vs.,SAC,W,117,98,34,23,8,12,8/14,6/9,1/2,95,31.6%,84,153.3,99,50.0%,25,16.7%,91,25.0%,56,3.3%,73,17.6%,,0.0%,79,2.6%
04/06/22,vs.,PHX,W,113,109,28,19,9,4,4/11,2/6,9/11,93,30.3%,58,118.8,83,21.1%,45,10.0%,95,0.0%,,0.0%,83,20.5%,92,3.2%,94,4.5%
04/03/22,vs.,NOP,W,119,100,29,15,5,7,5/15,5/7,0/0,96,32.6%,34,100.0,95,31.8%,21,18.6%,84,40.0%,,0.0%,32,8.8%,,0.0%,84,3.0%
03/31/22,@,CHI,L,130,135,32,22,4,5,7/20,2/9,6/7,100,42.8%,33,95.7,88,25.0%,25,16.9%,90,28.6%,,0.0%,54,13.3%,,0.0%,93,4.3%
03/29/22,vs.,UTA,W,121,115,31,31,2,6,9/19,6/9,7/10,100,43.8%,67,129.2,97,35.3%,54,7.1%,92,22.2%,,0.0%,12,4.0%,78,1.8%,98,6.2%
12/22/21,@,SAC,W,105,89,32,17,4,6,6/18,3/7,2/2,95,32.1%,33,94.4,92,27.3%,48,9.3%,72,50.0%,,0.0%,47,11.8%,76,1.7%,99,7.5%
12/20/21,vs.,SAS,L,92,116,31,25,6,6,8/18,3/9,6/7,99,38.4%,58,119.0,98,40.0%,30,15.1%,85,37.5%,,0.0%,48,11.9%,,0.0%,93,4.3%
12/06/21,@,POR,W,102,90,39,21,8,4,9/18,0/3,3/5,91,28.3%,46,105.0,72,16.0%,28,15.4%,95,0.0%,,0.0%,89,23.5%,,0.0%,93,4.3%
12/04/21,@,SAC,L,99,104,38,15,6,10,5/21,3/7,2/2,96,32.4%,19,68.2,99,45.5%,27,16.4%,67,60.0%,,0.0%,41,10.5%,,0.0%,72,2.1%
12/03/21,@,LAL,W,119,115,39,19,8,9,7/20,0/7,5/6,98,35.7%,25,82.6,97,34.6%,45,10.0%,94,14.3%,53,2.9%,53,12.8%,,0.0%,76,2.4%
11/29/21,vs.,NOP,L,104,123,34,27,3,3,10/19,3/9,4/4,100,42.2%,72,135.0,84,21.4%,10,25.9%,90,30.0%,,0.0%,35,9.4%,,0.0%,63,1.6%
11/28/21,vs.,GSW,L,90,105,37,30,5,5,11/24,3/7,5/6,99,38.8%,54,115.4,94,31.2%,13,23.2%,86,36.4%,,0.0%,57,13.9%,,0.0%,,0.0%
11/26/21,vs.,DET,W,107,96,32,12,5,4,5/18,1/8,1/2,90,27.9%,16,63.2,83,21.1%,48,9.3%,67,60.0%,,0.0%,49,12.2%,73,1.5%,91,3.9%
11/23/21,vs.,DAL,L,104,112,48,26,9,6,7/23,1/6,11/12,94,30.7%,34,96.3,85,22.2%,48,9.2%,94,14.3%,,0.0%,72,17.4%,67,1.2%,,0.0%
11/21/21,vs.,DAL,W,97,91,38,29,4,6,12/25,3/8,2/2,100,41.2%,51,111.5,95,33.3%,21,18.2%,86,33.3%,,0.0%,43,11.1%,,0.0%,54,1.2%
11/19/21,@,NOP,L,81,94,35,19,7,6,8/26,3/14,0/0,99,39.2%,21,73.1,97,35.3%,62,3.4%,91,25.0%,,0.0%,80,20.0%,,0.0%,57,1.4%
11/18/21,@,MEM,L,108,120,31,23,5,6,9/18,5/9,0/0,92,29.0%,65,127.8,98,37.5%,60,5.0%,82,44.4%,54,3.1%,43,11.1%,72,1.5%,,0.0%
11/16/21,vs.,SAS,W,106,92,34,34,9,4,10/24,2/9,12/13,100,43.5%,52,113.3,92,28.6%,27,16.2%,93,20.0%,,0.0%,96,29.0%,,0.0%,75,2.4%
11/14/21,vs.,CHI,L,90,100,40,27,11,4,7/25,2/10,11/11,99,36.7%,30,90.0,85,22.2%,49,8.7%,94,14.3%,48,2.2%,86,21.7%,67,1.2%,49,1.1%
11/13/21,vs.,MIN,W,129,102,27,23,9,4,10/17,3/5,0/0,95,31.7%,72,135.3,79,19.0%,17,20.0%,67,60.0%,62,4.0%,87,22.2%,,0.0%,,0.0%
11/11/21,vs.,MIA,W,112,109,38,27,4,5,11/25,3/9,2/2,97,34.3%,45,103.8,86,22.7%,46,9.8%,93,18.2%,72,5.4%,15,4.9%,,0.0%,87,3.4%
11/09/21,vs.,POR,W,117,109,33,24,9,7,10/24,3/7,1/2,100,42.9%,34,100.0,93,29.2%,45,10.0%,94,10.0%,57,3.4%,89,23.5%,,0.0%,60,1.4%
11/07/21,vs.,CHA,W,120,106,38,20,9,8,9/22,2/10,0/0,99,37.6%,31,90.9,97,34.8%,12,23.9%,94,11.1%,51,2.8%,66,15.7%,67,1.2%,,0.0%
11/05/21,@,MIN,W,104,84,35,20,11,6,4/19,0/6,12/13,100,40.2%,23,76.9,92,28.6%,24,17.1%,95,0.0%,,0.0%,89,23.3%,,0.0%,87,3.4%
11/03/21,@,MIN,W,126,115,36,32,6,8,11/18,4/8,6/6,99,39.0%,86,160.0,95,32.0%,9,26.7%,86,36.4%,,0.0%,73,17.6%,69,1.4%,56,1.3%
11/01/21,vs.,OKC,W,99,94,40,32,9,7,11/24,5/8,5/6,97,33.9%,58,118.5,98,38.9%,38,12.3%,86,36.4%,,0.0%,83,20.5%,67,1.3%,85,3.1%
10/29/21,@,POR,L,92,111,34,42,8,2,15/24,6/9,6/9,99,39.3%,84,155.6,80,20.0%,34,13.6%,86,33.3%,53,2.9%,80,19.4%,71,1.4%,57,1.3%
10/27/21,vs.,CLE,L,79,92,34,12,10,1,6/20,0/8,0/0,94,30.9%,15,60.0,34,5.9%,25,17.0%,86,33.3%,,0.0%,95,27.3%,,0.0%,96,5.3%
10/25/21,vs.,POR,W,116,86,27,16,0,5,6/16,2/8,2/2,90,28.0%,34,100.0,92,27.8%,27,16.2%,,100.0%,,0.0%,0,0.0%,81,2.0%,100,12.1%
10/23/21,vs.,MEM,L,114,120,35,41,10,4,15/25,5/12,6/6,99,36.5%,79,146.4,85,22.2%,46,9.7%,91,26.7%,,0.0%,99,35.7%,,0.0%,75,2.4%
10/21/21,@,GSW,L,113,115,37,29,11,6,12/23,5/11,0/0,93,30.2%,65,126.1,88,25.0%,41,11.5%,72,50.0%,,0.0%,91,25.0%,,0.0%,75,2.3%
