Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,ATL,L,103,132,38,17,6,2,7/10,3/5,0/0,20,9.0%,85,170.0,54,9.1%,,0.0%,50,85.7%,,0.0%,38,13.9%,73,2.6%,65,1.1%
04/10/22,vs.,WAS,W,124,108,25,9,1,1,4/4,0/0,1/1,4,5.8%,99,225.0,32,4.2%,12,28.6%,,100.0%,,0.0%,8,4.3%,61,2.0%,,0.0%
04/08/22,@,CHI,W,133,117,29,7,3,4,3/6,1/2,0/0,25,12.1%,47,116.7,68,13.8%,,0.0%,59,66.7%,39,5.3%,14,7.7%,83,3.9%,70,1.7%
04/07/22,vs.,ORL,W,128,101,34,10,6,2,4/7,1/2,1/2,28,12.8%,55,125.0,45,7.7%,11,30.0%,,100.0%,,0.0%,35,14.3%,72,2.8%,61,1.3%
04/05/22,@,MIA,L,115,144,33,13,6,4,5/9,0/2,3/4,56,17.9%,49,118.2,70,14.8%,36,16.0%,,100.0%,52,7.7%,26,11.5%,53,1.5%,,0.0%
04/02/22,@,PHI,L,114,144,24,12,3,1,5/9,2/4,0/0,37,14.4%,61,133.3,39,5.9%,48,11.8%,46,80.0%,32,4.0%,44,16.7%,,0.0%,90,3.4%
03/30/22,@,NYK,W,125,114,34,11,6,3,5/8,1/3,0/0,24,11.8%,67,137.5,57,10.3%,21,22.2%,,100.0%,31,3.8%,39,15.2%,74,3.0%,61,1.3%
03/28/22,vs.,DEN,L,109,113,29,10,6,4,4/7,2/4,0/0,22,11.6%,70,142.9,73,16.0%,46,12.5%,,100.0%,,0.0%,65,22.2%,57,1.7%,,0.0%
03/27/22,@,BKN,W,119,110,31,18,11,5,8/12,2/3,0/0,45,15.8%,74,150.0,86,22.7%,,0.0%,51,75.0%,85,15.6%,34,13.9%,,0.0%,,0.0%
03/25/22,vs.,UTA,W,107,101,33,6,1,5,2/10,0/4,2/2,74,21.8%,10,54.5,80,19.2%,28,19.4%,,100.0%,28,3.2%,0,0.0%,77,3.3%,85,2.8%
03/23/22,vs.,NYK,L,106,121,27,10,2,2,4/10,2/7,0/0,40,15.0%,27,100.0,50,9.1%,,0.0%,,100.0%,31,3.7%,8,4.8%,61,1.9%,89,3.3%
03/21/22,vs.,NOP,W,106,103,32,6,5,7,3/6,0/3,0/0,34,13.8%,27,100.0,93,29.2%,50,11.1%,,100.0%,59,9.1%,18,8.8%,55,1.6%,67,1.5%
03/19/22,vs.,DAL,W,129,108,29,21,3,0,8/14,5/9,0/0,47,16.1%,74,150.0,,0.0%,,0.0%,,100.0%,,0.0%,20,10.0%,,0.0%,,0.0%
03/16/22,vs.,ATL,W,116,106,26,16,1,3,6/9,2/3,2/3,41,15.2%,82,160.0,71,15.0%,,0.0%,,100.0%,,0.0%,9,5.3%,66,2.3%,97,5.4%
03/14/22,@,OKC,W,134,116,30,6,5,1,3/9,0/3,0/0,24,11.9%,12,66.7,31,3.1%,,0.0%,,100.0%,56,8.3%,20,10.0%,,0.0%,87,3.0%
03/11/22,@,NOP,W,142,120,24,6,1,5,2/5,2/4,0/0,52,17.0%,50,120.0,79,18.5%,10,31.6%,,100.0%,,0.0%,8,4.8%,,0.0%,,0.0%
03/09/22,vs.,BOS,L,101,115,41,17,4,1,7/12,3/8,0/0,26,12.4%,70,141.7,32,4.0%,33,16.7%,57,71.4%,37,4.9%,8,5.0%,67,2.4%,,0.0%
03/08/22,vs.,BKN,L,121,132,37,4,8,5,1/6,0/4,2/4,21,11.4%,8,50.0,73,15.6%,,0.0%,,100.0%,40,5.4%,34,13.8%,,0.0%,58,1.1%
03/05/22,vs.,SAS,W,123,117,37,13,5,1,5/12,3/9,0/0,42,15.3%,41,108.3,32,4.0%,21,22.2%,46,80.0%,25,2.5%,12,6.7%,68,2.5%,78,2.3%
03/02/22,@,CLE,W,119,98,28,12,3,1,5/5,2/2,0/0,3,4.9%,99,240.0,33,4.3%,,0.0%,,100.0%,,0.0%,22,10.5%,,0.0%,,0.0%
02/28/22,@,MIL,L,106,130,27,11,3,2,4/8,3/7,0/0,20,11.1%,67,137.5,58,11.1%,,0.0%,,100.0%,28,3.1%,12,6.5%,,0.0%,,0.0%
02/27/22,vs.,DET,L,126,127,32,10,6,1,5/9,0/2,0/0,32,13.5%,43,111.1,33,4.3%,25,20.0%,70,60.0%,67,10.7%,9,5.3%,52,1.4%,62,1.4%
02/25/22,vs.,TOR,W,125,93,26,13,4,3,5/10,3/8,0/0,39,14.8%,60,130.0,61,11.5%,,0.0%,,100.0%,,0.0%,32,13.3%,85,4.2%,89,3.3%
02/17/22,vs.,MIA,L,107,111,49,15,14,2,6/15,0/4,3/4,59,18.6%,24,88.2,48,8.3%,37,15.4%,75,50.0%,44,6.1%,48,17.3%,50,1.1%,57,1.0%
02/15/22,@,MIN,L,120,126,33,3,8,0,1/5,1/5,0/0,3,5.5%,11,60.0,,0.0%,,0.0%,,100.0%,26,2.7%,32,13.2%,52,1.4%,96,4.9%
02/12/22,vs.,MEM,L,118,125,23,4,2,0,1/4,1/4,1/2,20,11.2%,18,80.0,,0.0%,10,30.8%,,100.0%,31,3.8%,7,3.4%,92,5.6%,70,1.7%
02/11/22,@,DET,W,141,119,26,13,5,4,5/7,3/5,0/0,17,10.4%,91,185.7,68,13.8%,,0.0%,46,80.0%,,0.0%,43,16.0%,,0.0%,66,1.5%
02/09/22,vs.,CHI,L,109,121,34,5,8,2,2/7,1/5,0/0,20,11.2%,15,71.4,45,7.4%,21,22.2%,,100.0%,26,2.9%,72,25.0%,,0.0%,60,1.2%
02/07/22,vs.,TOR,L,101,116,32,15,9,2,7/14,1/6,0/0,44,15.6%,40,107.1,62,12.5%,,0.0%,57,71.4%,25,2.4%,69,23.3%,56,1.7%,60,1.2%
