Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/08/22,@,WAS,W,114,92,15,14,3,2,6/10,0/0,2/4,98,33.8%,56,116.7,96,33.3%,,0.0%,74,50.0%,,0.0%,95,25.0%,,0.0%,,0.0%
04/06/22,vs.,BKN,L,98,110,45,21,7,7,6/26,2/11,7/12,99,35.4%,20,67.7,96,31.8%,50,8.2%,88,33.3%,59,2.0%,54,10.4%,,0.0%,,0.0%
04/03/22,@,ORL,W,118,88,33,27,5,6,9/20,3/9,6/8,98,34.6%,58,117.4,90,25.0%,40,11.1%,85,44.4%,67,3.2%,37,7.5%,,0.0%,55,1.3%
04/02/22,vs.,CLE,L,101,119,34,12,4,2,4/17,1/3,3/4,96,31.4%,17,63.2,50,9.5%,32,13.6%,74,50.0%,,0.0%,79,16.7%,,0.0%,60,1.4%
03/30/22,vs.,CHA,L,114,125,38,25,4,3,9/17,1/4,6/8,85,25.3%,59,119.0,61,12.5%,32,13.3%,61,66.7%,63,2.9%,48,9.4%,,0.0%,51,1.1%
03/28/22,vs.,CHI,W,109,104,43,28,6,3,10/24,2/3,6/7,89,27.0%,49,107.7,58,11.5%,60,3.8%,86,40.0%,87,6.4%,38,7.7%,,0.0%,49,1.0%
03/27/22,@,DET,W,104,102,36,21,9,1,7/18,1/5,6/7,90,27.7%,36,100.0,32,5.3%,48,8.7%,95,14.3%,82,5.4%,87,20.0%,,0.0%,53,1.2%
03/25/22,@,MIA,W,111,103,34,18,8,4,5/16,2/9,6/8,98,33.3%,32,90.0,82,20.0%,19,19.2%,86,40.0%,85,6.1%,92,21.7%,,0.0%,,0.0%
03/23/22,@,CHA,W,121,106,38,30,3,3,10/19,3/7,7/8,94,30.1%,73,136.4,66,13.6%,49,8.5%,86,40.0%,,0.0%,14,2.8%,,0.0%,55,1.3%
03/22/22,vs.,ATL,L,111,117,42,28,13,3,8/24,1/7,11/17,100,37.9%,31,87.5,55,10.7%,32,13.3%,92,25.0%,90,7.5%,96,25.7%,,0.0%,72,2.0%
03/20/22,vs.,UTA,L,93,108,43,24,7,3,8/20,4/8,4/6,90,27.8%,47,104.3,70,15.0%,25,16.0%,47,87.5%,77,4.4%,70,14.3%,,0.0%,50,1.1%
03/18/22,vs.,WAS,W,100,97,40,18,6,3,6/22,1/4,5/6,84,25.0%,22,72.0,78,17.6%,60,4.0%,48,83.3%,73,3.9%,56,10.8%,79,1.4%,,0.0%
03/16/22,vs.,POR,W,128,98,40,31,4,5,10/20,5/11,6/7,79,23.1%,73,134.8,82,20.0%,59,4.7%,,100.0%,83,5.7%,22,4.4%,76,1.2%,73,2.2%
03/13/22,@,BKN,L,107,110,42,24,1,2,8/21,1/5,7/8,90,27.3%,36,96.0,43,8.0%,40,11.3%,68,62.5%,,0.0%,14,2.6%,,0.0%,86,3.1%
03/11/22,@,MEM,L,114,118,40,23,7,2,9/25,1/6,4/7,91,28.0%,28,82.1,46,8.7%,53,7.1%,61,66.7%,59,2.3%,40,8.0%,,0.0%,49,1.0%
03/09/22,@,DAL,W,107,77,38,18,7,4,7/15,0/3,4/5,76,22.1%,48,105.9,81,19.0%,58,5.3%,91,28.6%,,0.0%,76,15.6%,,0.0%,,0.0%
03/07/22,@,SAC,W,131,115,37,29,8,6,11/21,3/6,4/4,97,32.3%,65,126.1,82,20.0%,40,11.3%,85,45.5%,,0.0%,83,17.6%,,0.0%,,0.0%
03/06/22,@,LAC,W,116,93,30,22,9,4,7/17,1/2,7/7,95,31.0%,51,110.0,82,20.0%,59,4.5%,91,28.6%,,0.0%,91,21.4%,,0.0%,,0.0%
