Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,DAL,L,96,98,33,8,6,0,4/9,0/5,0/0,18,9.6%,33,88.9,,0.0%,,0.0%,,100.0%,71,3.3%,79,15.6%,85,1.8%,65,1.4%
04/25/22,@,DAL,L,77,102,22,5,3,1,2/6,1/5,0/0,42,14.8%,29,83.3,59,11.1%,29,15.4%,,100.0%,,0.0%,82,16.7%,,0.0%,77,2.3%
04/23/22,vs.,DAL,W,100,99,33,7,6,3,3/8,1/6,0/0,25,11.0%,32,87.5,76,16.7%,,0.0%,,100.0%,,0.0%,86,17.9%,,0.0%,,0.0%
04/21/22,vs.,DAL,L,118,126,32,2,4,1,0/0,0/0,2/2,6,5.4%,93,200.0,28,4.0%,4,57.1%,,,81,4.5%,60,11.5%,,0.0%,,0.0%
04/18/22,@,DAL,L,104,110,37,12,9,2,4/7,4/6,0/0,9,7.7%,89,171.4,45,8.0%,,0.0%,,100.0%,67,2.9%,98,27.6%,,0.0%,61,1.3%
04/16/22,@,DAL,W,99,93,31,3,6,2,1/5,1/3,0/0,11,7.9%,17,60.0,52,9.5%,,0.0%,,100.0%,98,9.4%,58,11.1%,,0.0%,,0.0%
04/10/22,@,POR,W,111,80,27,5,3,1,1/6,1/5,2/2,41,14.9%,21,71.4,33,5.6%,6,30.0%,,100.0%,90,7.7%,18,3.7%,,0.0%,,0.0%
04/08/22,vs.,PHX,L,105,111,28,3,1,2,1/4,1/3,0/0,5,6.3%,22,75.0,54,10.5%,,0.0%,,100.0%,63,2.9%,0,0.0%,,0.0%,,0.0%
04/05/22,vs.,MEM,W,121,115,24,6,2,2,2/5,1/3,1/2,50,16.7%,36,100.0,55,11.1%,5,31.6%,74,50.0%,74,4.2%,21,4.3%,,0.0%,68,1.8%
04/02/22,@,GSW,L,107,111,30,0,6,2,0/5,0/3,0/0,35,13.9%,1,0.0,51,10.0%,2,40.0%,,,62,2.8%,92,21.7%,,0.0%,,0.0%
03/31/22,vs.,LAL,W,122,109,29,2,7,2,1/6,0/3,0/0,14,9.6%,8,33.3,39,7.1%,,0.0%,,100.0%,70,3.6%,87,20.0%,,0.0%,,0.0%
03/29/22,@,LAC,L,115,121,34,5,2,4,2/7,1/5,0/0,19,10.8%,21,71.4,70,14.8%,,0.0%,,100.0%,74,4.2%,16,3.3%,,0.0%,,0.0%
03/27/22,@,DAL,L,100,114,29,6,3,0,2/6,2/4,0/0,11,8.5%,36,100.0,,0.0%,,0.0%,,100.0%,,0.0%,70,14.3%,,0.0%,88,3.4%
03/25/22,@,CHA,L,101,107,35,6,2,2,2/8,2/8,0/0,23,11.5%,22,75.0,44,8.3%,,0.0%,74,50.0%,,0.0%,14,2.8%,,0.0%,58,1.4%
03/23/22,@,BOS,L,97,125,31,6,4,2,2/4,2/4,0/0,13,9.4%,79,150.0,51,10.0%,5,30.8%,74,50.0%,64,2.9%,77,15.8%,,0.0%,84,2.9%
03/21/22,@,BKN,L,106,114,32,2,8,3,0/4,0/3,2/2,24,11.8%,9,40.0,64,13.0%,12,23.5%,,,66,3.1%,97,28.0%,99,5.1%,,0.0%
03/20/22,@,NYK,W,108,93,36,14,5,2,5/11,4/10,0/0,30,12.8%,66,127.3,54,10.5%,,0.0%,,100.0%,65,3.0%,50,10.0%,,0.0%,58,1.4%
03/18/22,vs.,LAC,W,121,92,26,5,3,2,2/5,1/4,0/0,20,10.9%,36,100.0,41,7.4%,6,28.6%,,100.0%,,0.0%,43,8.6%,,0.0%,64,1.6%
03/16/22,vs.,CHI,W,125,110,32,9,3,3,3/5,3/4,0/0,14,9.5%,93,180.0,60,12.0%,6,28.6%,,100.0%,71,3.7%,28,5.7%,,0.0%,,0.0%
03/14/22,vs.,MIL,L,111,117,38,12,7,2,4/12,2/5,2/2,37,14.3%,34,92.3,39,7.1%,51,7.7%,,100.0%,88,7.0%,57,11.1%,,0.0%,74,2.2%
03/12/22,vs.,SAC,W,134,125,35,7,5,5,3/7,1/4,0/0,17,10.4%,36,100.0,71,15.2%,,0.0%,61,66.7%,70,3.6%,59,11.4%,,0.0%,,0.0%
03/11/22,@,SAS,L,102,104,34,5,2,5,2/8,1/6,0/0,30,12.8%,17,62.5,80,18.5%,45,9.5%,,100.0%,65,3.0%,14,2.9%,80,1.5%,53,1.2%
03/09/22,vs.,POR,W,123,85,24,11,10,3,4/6,2/4,1/1,25,12.0%,93,183.3,66,13.6%,,0.0%,54,75.0%,86,6.2%,95,24.2%,,0.0%,,0.0%
03/07/22,@,DAL,L,103,111,31,13,5,2,5/8,3/5,0/1,22,11.4%,88,162.5,55,11.1%,32,13.3%,,100.0%,68,3.3%,59,11.4%,,0.0%,,0.0%
03/06/22,@,OKC,W,116,103,34,9,6,3,3/8,3/7,0/0,27,12.5%,53,112.5,55,10.7%,40,11.1%,,100.0%,,0.0%,81,17.1%,79,1.4%,83,2.8%
03/04/22,@,NOP,L,90,124,24,6,4,1,2/4,2/4,0/0,7,7.3%,79,150.0,47,9.1%,13,22.2%,,100.0%,68,3.3%,66,13.0%,87,2.0%,,0.0%
03/02/22,@,HOU,W,132,127,36,9,9,4,4/4,1/1,0/0,8,7.8%,98,225.0,61,12.1%,5,30.8%,54,75.0%,92,8.3%,90,20.7%,,0.0%,53,1.2%
02/27/22,@,PHX,W,118,114,26,9,0,2,3/4,3/4,0/0,4,5.9%,98,225.0,51,10.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
02/25/22,vs.,DAL,W,114,109,32,9,4,4,3/5,1/3,2/2,31,13.1%,79,150.0,70,14.8%,12,23.5%,,100.0%,84,5.9%,48,9.4%,,0.0%,63,1.5%
02/16/22,@,LAL,L,101,106,32,10,7,1,4/6,2/4,0/0,31,13.1%,89,166.7,29,4.8%,2,47.1%,,100.0%,,0.0%,90,20.7%,83,1.6%,95,4.6%
02/14/22,vs.,HOU,W,135,101,28,7,7,1,2/6,1/4,2/2,19,10.7%,36,100.0,25,3.7%,32,13.3%,,100.0%,73,4.0%,82,17.2%,,0.0%,,0.0%
02/11/22,vs.,ORL,W,114,99,34,14,0,5,5/6,4/5,0/0,14,9.5%,98,233.3,89,23.8%,32,13.3%,50,80.0%,,0.0%,0,0.0%,,0.0%,97,5.1%
02/09/22,vs.,GSW,W,111,85,29,6,2,5,2/7,2/6,0/0,38,14.4%,30,85.7,86,21.7%,42,10.5%,,100.0%,,0.0%,30,6.1%,,0.0%,,0.0%
02/07/22,vs.,NYK,W,113,104,32,6,4,0,2/8,2/8,0/0,18,10.5%,22,75.0,,0.0%,35,12.5%,,100.0%,61,2.7%,26,5.4%,77,1.4%,,0.0%
02/04/22,vs.,BKN,W,125,102,27,6,3,5,2/5,1/3,1/1,35,13.9%,59,120.0,80,18.5%,12,23.5%,,100.0%,,0.0%,43,8.6%,,0.0%,,0.0%
02/02/22,vs.,DEN,W,108,104,34,15,3,1,6/9,1/4,2/2,27,12.3%,79,150.0,26,4.0%,,0.0%,74,50.0%,65,3.0%,37,7.4%,,0.0%,82,2.7%
01/30/22,@,MIN,L,106,126,30,9,2,2,4/6,1/3,0/0,14,9.5%,79,150.0,54,10.5%,23,16.7%,,100.0%,,0.0%,16,3.3%,,0.0%,86,3.2%
01/28/22,@,MEM,L,109,119,29,12,5,0,4/6,4/5,0/0,8,7.6%,95,200.0,,0.0%,16,20.0%,,100.0%,65,3.0%,66,13.0%,,0.0%,85,3.0%
01/26/22,vs.,PHX,L,97,105,27,8,5,5,3/5,1/2,1/1,22,11.4%,86,160.0,98,38.5%,,0.0%,61,66.7%,,0.0%,92,21.7%,88,2.1%,68,1.8%
01/23/22,@,GSW,L,92,94,32,0,5,1,0/4,0/3,0/0,6,6.8%,1,0.0,32,5.3%,,0.0%,,,87,6.7%,46,9.1%,,0.0%,,0.0%
01/21/22,vs.,DET,W,111,101,32,5,4,1,1/3,1/2,2/2,7,7.4%,63,125.0,27,4.3%,16,20.0%,,100.0%,,0.0%,54,10.5%,,0.0%,,0.0%
01/19/22,vs.,HOU,L,111,116,36,3,15,5,1/5,1/5,0/0,11,8.5%,15,60.0,74,16.1%,,0.0%,,100.0%,82,5.4%,98,28.9%,,0.0%,78,2.4%
01/17/22,@,LAL,L,95,101,35,13,5,2,3/5,3/5,4/4,10,8.2%,94,185.7,46,8.7%,,0.0%,,100.0%,65,3.0%,57,11.1%,82,1.6%,,0.0%
01/16/22,@,DEN,W,125,102,31,11,3,1,4/6,2/4,1/1,7,7.4%,93,183.3,26,4.2%,,0.0%,54,75.0%,,0.0%,48,9.4%,,0.0%,61,1.5%
01/12/22,vs.,CLE,L,91,111,36,6,9,3,2/5,2/4,0/0,7,7.5%,59,120.0,70,15.0%,,0.0%,,100.0%,,0.0%,99,32.1%,82,1.6%,82,2.7%
01/10/22,@,DET,L,116,126,35,7,3,2,3/4,1/2,0/0,5,6.5%,91,175.0,41,7.7%,16,20.0%,61,66.7%,,0.0%,55,10.7%,,0.0%,92,3.9%
01/08/22,@,IND,L,113,125,38,8,6,2,3/3,2/2,0/0,2,4.7%,99,266.7,37,6.5%,10,25.0%,61,66.7%,65,3.0%,70,14.3%,78,1.4%,51,1.2%
01/05/22,@,DEN,W,115,109,36,13,11,5,5/12,3/6,0/0,44,15.4%,50,108.3,74,16.7%,,0.0%,50,80.0%,81,5.3%,97,26.5%,79,1.4%,54,1.2%
01/03/22,@,NOP,W,115,104,29,5,3,1,2/2,1/1,0/0,2,4.1%,99,250.0,27,4.3%,2,40.0%,,100.0%,,0.0%,41,8.1%,,0.0%,,0.0%
01/01/22,vs.,GSW,L,116,123,36,15,4,2,5/7,2/4,3/4,16,10.1%,89,166.7,37,6.7%,37,11.8%,,100.0%,84,5.9%,16,3.4%,,0.0%,,0.0%
12/31/21,vs.,MIN,W,120,108,32,0,3,3,0/0,0/0,0/0,1,3.3%,0,,67,14.3%,2,40.0%,,,,0.0%,26,5.4%,,0.0%,57,1.3%
12/29/21,@,POR,W,120,105,30,4,2,2,2/4,0/1,0/0,3,5.5%,36,100.0,41,7.7%,,0.0%,,100.0%,,0.0%,32,6.5%,,0.0%,58,1.4%
12/27/21,@,SAS,W,110,104,34,3,5,1,1/4,0/2,1/2,6,6.9%,15,60.0,25,3.8%,,0.0%,95,0.0%,66,3.1%,41,8.3%,,0.0%,79,2.5%
12/25/21,vs.,DAL,W,120,116,29,3,4,3,1/4,1/3,0/0,11,8.6%,22,75.0,66,13.6%,23,16.7%,,100.0%,,0.0%,70,14.3%,,0.0%,,0.0%
12/23/21,vs.,MIN,W,128,116,30,5,1,4,2/5,1/4,0/0,20,11.0%,36,100.0,66,13.8%,32,13.3%,74,50.0%,,0.0%,14,2.6%,,0.0%,84,2.9%
12/20/21,vs.,CHA,W,112,102,30,3,13,3,1/9,1/6,0/0,37,14.3%,8,33.3,67,14.3%,23,16.7%,,100.0%,92,8.1%,96,25.6%,81,1.6%,52,1.2%
12/18/21,vs.,WAS,L,103,109,34,9,3,3,3/6,2/4,1/2,13,9.2%,67,128.6,64,13.0%,,0.0%,,100.0%,,0.0%,40,7.9%,,0.0%,56,1.3%
12/17/21,vs.,SAS,L,126,128,29,11,5,4,3/5,1/2,4/4,15,10.0%,85,157.1,66,13.8%,,0.0%,,100.0%,66,3.1%,70,14.3%,,0.0%,,0.0%
12/15/21,vs.,LAC,W,124,103,25,7,5,3,3/5,1/3,0/0,27,12.5%,75,140.0,58,11.5%,26,15.4%,61,66.7%,,0.0%,85,18.5%,88,2.0%,91,3.8%
12/11/21,@,WAS,W,123,98,27,3,3,2,1/3,1/2,0/0,3,5.6%,36,100.0,46,8.7%,,0.0%,,100.0%,,0.0%,62,12.0%,,0.0%,,0.0%
12/09/21,@,PHI,W,118,96,27,7,4,0,3/5,1/3,0/0,4,5.8%,75,140.0,,0.0%,,0.0%,,100.0%,,0.0%,78,16.0%,,0.0%,66,1.7%
12/08/21,@,MIN,W,136,104,29,9,6,7,3/3,2/2,1/2,17,10.3%,98,225.0,93,26.9%,29,14.3%,,100.0%,90,7.7%,50,9.7%,82,1.6%,94,4.4%
12/05/21,@,CLE,W,109,108,37,12,6,2,4/7,4/6,0/0,10,8.3%,91,171.4,39,6.9%,29,14.3%,,100.0%,63,2.9%,60,11.6%,,0.0%,,0.0%
12/03/21,vs.,BOS,W,137,130,32,12,10,5,4/4,2/2,2/2,21,11.1%,99,240.0,79,17.9%,10,25.0%,54,75.0%,98,13.6%,95,25.0%,,0.0%,,0.0%
11/26/21,vs.,NOP,L,97,98,32,6,3,0,2/4,2/4,0/0,4,5.6%,79,150.0,,0.0%,10,25.0%,,100.0%,65,3.0%,26,5.4%,99,4.8%,83,2.8%
11/24/21,@,OKC,W,110,104,31,5,7,1,2/9,1/5,0/0,30,12.9%,14,55.6,26,4.2%,,0.0%,74,50.0%,,0.0%,94,24.1%,96,3.3%,99,7.1%
11/22/21,vs.,MEM,L,118,119,30,9,6,1,3/6,3/6,0/0,12,9.0%,79,150.0,27,4.3%,23,16.7%,,100.0%,,0.0%,83,17.6%,,0.0%,62,1.5%
11/20/21,@,SAC,W,123,105,29,9,5,4,3/9,2/6,1/2,52,16.9%,32,90.0,74,16.0%,48,8.7%,,100.0%,96,11.1%,34,6.9%,,0.0%,,0.0%
11/18/21,vs.,TOR,W,119,103,29,16,4,3,6/8,4/6,0/0,40,14.8%,95,200.0,67,14.3%,13,22.2%,48,83.3%,,0.0%,62,12.1%,81,1.5%,,0.0%
11/16/21,vs.,PHI,W,120,85,27,3,9,1,1/2,1/2,0/0,5,6.5%,79,150.0,25,3.7%,1,50.0%,,100.0%,,0.0%,97,28.1%,85,1.8%,65,1.6%
11/13/21,vs.,MIA,L,105,111,35,7,2,3,3/7,1/5,0/0,17,10.4%,36,100.0,64,13.0%,37,11.8%,61,66.7%,82,5.4%,0,0.0%,95,3.1%,78,2.4%
11/11/21,vs.,IND,L,100,111,32,4,1,1,1/6,0/4,2/3,36,14.1%,14,57.1,26,4.0%,6,30.0%,,100.0%,,0.0%,14,2.8%,80,1.5%,59,1.4%
11/09/21,vs.,ATL,W,110,98,33,11,5,4,4/7,1/4,2/2,24,11.8%,74,137.5,74,16.0%,,0.0%,54,75.0%,,0.0%,55,10.7%,,0.0%,,0.0%
11/07/21,@,ORL,L,100,107,34,14,7,2,5/6,2/3,2/3,13,9.3%,95,200.0,47,9.1%,10,25.0%,50,80.0%,61,2.6%,87,19.4%,,0.0%,89,3.5%
11/06/21,@,MIA,L,115,118,32,15,5,2,5/7,3/4,2/4,44,15.4%,89,166.7,41,7.4%,19,19.0%,69,60.0%,90,7.7%,50,10.0%,,0.0%,100,8.8%
11/04/21,@,ATL,W,116,98,34,9,6,6,3/8,2/6,1/1,43,15.3%,53,112.5,90,24.0%,22,17.4%,,100.0%,,0.0%,83,17.9%,,0.0%,,0.0%
11/02/21,vs.,SAC,W,119,113,30,2,5,2,1/5,0/4,0/0,9,8.0%,9,40.0,37,6.5%,26,15.4%,,100.0%,85,6.1%,30,6.1%,,0.0%,,0.0%
10/31/21,@,MIL,W,107,95,31,7,3,2,3/5,1/3,0/0,8,7.6%,75,140.0,51,10.0%,,0.0%,61,66.7%,,0.0%,38,7.7%,94,3.0%,63,1.5%
10/30/21,@,CHI,L,99,107,35,7,3,2,3/5,1/3,0/0,6,6.9%,75,140.0,39,7.1%,23,16.7%,61,66.7%,61,2.6%,25,5.3%,,0.0%,89,3.4%
10/28/21,@,HOU,W,122,91,24,7,6,1,3/5,1/3,0/0,19,10.7%,75,140.0,32,5.3%,4,33.3%,,100.0%,96,11.1%,63,12.5%,,0.0%,90,3.6%
10/26/21,vs.,DEN,W,122,110,31,5,3,2,2/5,1/4,0/0,6,6.8%,36,100.0,41,7.4%,,0.0%,,100.0%,73,4.0%,44,8.7%,84,1.7%,58,1.4%
10/22/21,@,SAC,W,110,101,32,8,4,1,3/7,2/3,0/0,12,8.9%,54,114.3,27,4.3%,32,13.3%,61,66.7%,82,5.6%,24,4.9%,77,1.4%,95,4.8%
10/20/21,vs.,OKC,W,107,86,26,0,6,2,0/4,0/4,0/0,17,10.3%,1,0.0,46,8.7%,23,16.7%,,,,0.0%,81,17.1%,,0.0%,,0.0%
