Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,DAL,L,96,98,36,10,12,0,3/6,0/0,4/4,21,9.1%,55,125.0,,0.0%,,0.0%,64,66.7%,34,3.1%,92,35.5%,,0.0%,,0.0%
04/25/22,@,DAL,L,77,102,27,17,11,0,6/7,0/0,5/7,58,16.3%,85,170.0,,0.0%,48,11.8%,51,83.3%,88,16.7%,73,25.0%,,0.0%,77,1.9%
04/23/22,vs.,DAL,W,100,99,32,17,15,1,4/8,0/0,9/18,87,24.7%,27,100.0,43,6.2%,50,10.8%,77,50.0%,99,28.6%,25,10.3%,,0.0%,,0.0%
04/21/22,vs.,DAL,L,118,126,29,15,7,0,6/6,0/0,3/3,12,6.9%,97,214.3,,0.0%,,0.0%,,100.0%,,0.0%,73,25.0%,68,2.0%,,0.0%
04/18/22,@,DAL,L,104,110,37,8,17,2,2/5,0/0,4/6,54,15.8%,27,100.0,49,7.7%,15,32.0%,77,50.0%,75,11.4%,96,40.0%,78,3.1%,,0.0%
04/16/22,@,DAL,W,99,93,35,5,17,0,0/1,0/0,5/6,9,6.2%,55,125.0,,0.0%,30,20.0%,,,49,5.9%,91,34.3%,89,4.8%,,0.0%
04/10/22,@,POR,W,111,80,30,18,13,1,4/6,0/0,10/14,63,19.4%,68,138.5,40,6.2%,40,14.3%,51,75.0%,68,11.1%,80,27.8%,83,3.9%,,0.0%
04/08/22,vs.,PHX,L,105,111,33,16,12,2,5/7,0/0,6/9,63,19.3%,72,145.5,54,10.0%,14,27.6%,70,60.0%,59,8.8%,79,27.3%,53,1.5%,,0.0%
04/06/22,vs.,OKC,W,137,101,26,20,10,1,9/9,0/0,2/4,29,12.9%,91,181.8,35,5.0%,,0.0%,41,88.9%,84,15.4%,76,25.9%,85,4.2%,70,1.7%
04/05/22,vs.,MEM,W,121,115,34,22,20,0,5/8,0/0,12/18,65,20.0%,60,129.4,,0.0%,33,16.7%,46,80.0%,68,11.1%,89,33.3%,51,1.3%,57,1.1%
04/02/22,@,GSW,L,107,111,38,14,20,1,5/8,0/1,4/7,36,14.3%,58,127.3,31,3.7%,33,16.7%,70,60.0%,79,14.3%,97,40.5%,,0.0%,79,2.4%
03/31/22,vs.,LAL,W,122,109,36,25,17,0,9/11,0/0,7/9,52,17.1%,85,166.7,,0.0%,40,14.8%,50,77.8%,77,13.3%,92,34.4%,73,2.9%,60,1.3%
03/29/22,@,LAC,L,115,121,38,9,16,1,4/7,0/0,1/6,39,14.7%,24,90.0,31,3.4%,19,24.0%,75,50.0%,79,13.8%,86,30.6%,85,4.2%,79,2.4%
03/25/22,@,CHA,L,101,107,37,11,19,1,5/7,0/0,1/2,16,10.1%,67,137.5,34,4.5%,46,12.5%,70,60.0%,39,5.3%,97,42.1%,51,1.4%,,0.0%
03/23/22,@,BOS,L,97,125,30,14,11,1,4/6,0/0,6/6,36,14.3%,80,155.6,35,5.0%,53,10.0%,93,25.0%,71,11.8%,89,33.3%,,0.0%,64,1.4%
03/21/22,@,BKN,L,106,114,31,11,4,1,4/5,0/0,3/4,15,10.0%,80,157.1,36,5.3%,37,15.4%,,100.0%,,0.0%,54,19.0%,,0.0%,,0.0%
03/20/22,@,NYK,W,108,93,33,14,9,0,2/3,0/0,10/12,31,13.4%,80,155.6,,0.0%,52,10.5%,75,50.0%,63,10.0%,40,15.4%,94,6.2%,,0.0%
03/18/22,vs.,LAC,W,121,92,27,19,16,2,8/11,0/0,3/3,67,20.1%,81,158.3,58,11.1%,40,14.8%,89,37.5%,98,27.6%,69,23.5%,83,3.9%,,0.0%
03/16/22,vs.,CHI,W,125,110,33,14,20,2,5/8,0/0,4/6,41,15.2%,58,127.3,50,8.7%,59,8.3%,87,40.0%,93,20.7%,94,36.4%,93,5.9%,60,1.3%
03/14/22,vs.,MIL,L,111,117,32,18,14,0,6/8,0/0,6/8,40,14.9%,74,150.0,,0.0%,32,17.4%,44,83.3%,70,11.4%,81,28.6%,,0.0%,61,1.3%
03/11/22,@,SAS,L,102,104,32,13,16,1,2/3,0/0,9/10,31,13.5%,84,162.5,37,5.6%,12,28.6%,,100.0%,63,9.8%,71,24.3%,97,7.7%,,0.0%
