Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,CHA,L,108,124,32,21,4,2,9/19,1/4,2/2,85,25.0%,46,105.0,47,9.1%,,0.0%,71,55.6%,79,6.7%,26,7.7%,,0.0%,57,1.4%
04/08/22,vs.,NYK,L,92,114,28,21,3,1,8/14,3/5,2/4,86,25.5%,74,140.0,41,7.7%,,0.0%,85,37.5%,,0.0%,48,12.0%,79,1.9%,,0.0%
04/06/22,@,ATL,L,103,118,32,9,6,0,4/12,0/5,1/2,69,20.3%,19,69.2,,0.0%,54,7.1%,95,0.0%,57,3.4%,58,14.3%,,0.0%,,0.0%
04/05/22,@,MIN,W,132,114,34,21,5,4,8/15,3/4,2/6,71,20.6%,55,116.7,67,13.8%,58,5.7%,43,87.5%,53,2.9%,43,11.1%,,0.0%,,0.0%
04/03/22,@,BOS,L,102,144,24,0,7,0,0/5,0/3,0/0,20,11.1%,1,0.0,,0.0%,25,16.7%,,,,0.0%,95,27.3%,,0.0%,,0.0%
04/01/22,vs.,DAL,W,135,103,29,21,5,4,8/14,3/4,2/3,75,21.5%,74,140.0,80,20.0%,,0.0%,51,75.0%,80,6.9%,56,13.6%,81,2.0%,62,1.5%
03/30/22,vs.,ORL,W,127,110,29,15,7,3,6/14,1/4,2/2,82,23.8%,34,100.0,64,13.0%,36,12.9%,,100.0%,,0.0%,76,18.4%,91,3.1%,,0.0%
03/29/22,vs.,CHI,L,94,107,31,21,4,0,8/10,2/3,3/4,58,18.0%,92,175.0,,0.0%,24,17.4%,66,62.5%,65,4.3%,46,11.5%,,0.0%,,0.0%
03/27/22,vs.,GSW,W,123,115,24,6,4,2,2/6,2/2,0/0,23,11.8%,34,100.0,51,10.0%,,0.0%,,100.0%,,0.0%,78,19.0%,,0.0%,,0.0%
03/25/22,@,DET,W,100,97,27,11,5,1,5/12,1/5,0/0,61,18.5%,31,91.7,36,6.2%,49,8.7%,47,80.0%,,0.0%,72,17.2%,,0.0%,,0.0%
03/24/22,@,MIL,L,102,114,24,10,7,0,5/11,0/3,0/2,65,19.4%,25,83.3,,0.0%,,0.0%,67,60.0%,82,7.4%,88,22.7%,,0.0%,,0.0%
03/21/22,@,HOU,L,97,115,30,16,8,2,7/13,2/5,0/0,70,20.5%,62,123.1,67,14.3%,30,14.8%,57,71.4%,90,9.7%,84,20.8%,,0.0%,,0.0%
03/19/22,vs.,LAL,W,127,119,25,10,1,1,5/9,0/2,0/0,55,17.6%,50,111.1,34,5.9%,43,10.5%,84,40.0%,,0.0%,14,4.8%,,0.0%,89,3.7%
03/18/22,@,NYK,L,97,100,21,11,2,0,4/7,2/2,1/1,46,15.9%,85,157.1,,0.0%,28,15.4%,51,75.0%,,0.0%,26,7.7%,,0.0%,,0.0%
03/16/22,vs.,DEN,L,109,127,24,12,7,3,6/13,0/5,0/0,84,24.5%,32,92.3,79,18.8%,,0.0%,72,50.0%,90,10.0%,90,23.8%,,0.0%,69,1.9%
03/14/22,@,GSW,L,112,126,23,12,3,1,5/7,2/2,0/0,38,14.4%,91,171.4,41,7.7%,28,15.4%,47,80.0%,,0.0%,49,12.5%,,0.0%,,0.0%
03/12/22,@,POR,L,118,127,17,12,2,0,4/7,2/4,2/2,76,22.0%,80,150.0,,0.0%,4,33.3%,,100.0%,,0.0%,54,13.3%,,0.0%,77,2.4%
03/11/22,@,LAL,L,109,122,26,15,6,1,6/11,2/3,1/2,52,16.9%,62,125.0,33,5.6%,,0.0%,45,83.3%,88,9.1%,67,16.0%,,0.0%,65,1.7%
03/09/22,@,LAC,L,109,115,24,18,3,1,7/10,1/4,3/4,60,18.4%,80,150.0,37,6.7%,47,9.5%,44,85.7%,63,4.2%,43,11.1%,,0.0%,67,1.8%
03/06/22,vs.,IND,W,133,123,16,3,3,0,1/5,1/4,0/0,24,11.8%,15,60.0,,0.0%,,0.0%,,100.0%,,0.0%,96,28.6%,,0.0%,79,2.6%
03/04/22,vs.,ATL,L,114,117,26,19,6,1,7/10,3/4,2/2,55,17.6%,91,172.7,36,6.2%,41,11.1%,,100.0%,,0.0%,90,23.8%,,0.0%,70,2.0%
03/01/22,vs.,DET,W,116,113,20,11,1,0,4/9,3/3,0/0,50,16.7%,61,122.2,,0.0%,,0.0%,,100.0%,73,5.6%,0,0.0%,,0.0%,,0.0%
