Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHI,L,97,132,35,18,7,3,8/20,2/7,0/0,83,26.5%,29,90.0,67,15.0%,51,9.3%,78,50.0%,90,9.8%,57,13.6%,,0.0%,59,1.2%
04/25/22,@,PHI,W,103,88,41,12,8,4,5/10,0/1,2/2,45,15.3%,48,109.1,64,13.3%,57,7.7%,88,40.0%,50,2.8%,70,16.7%,,0.0%,90,3.5%
04/23/22,vs.,PHI,W,110,102,26,6,11,2,1/5,0/3,4/5,34,12.9%,26,85.7,52,10.0%,,0.0%,,100.0%,,0.0%,99,45.8%,,0.0%,,0.0%
04/16/22,@,PHI,L,111,131,32,15,10,8,4/6,0/0,7/9,75,23.1%,79,150.0,94,32.0%,37,13.3%,78,50.0%,84,8.0%,93,24.2%,74,1.4%,,0.0%
04/10/22,@,NYK,L,94,105,22,7,2,5,3/5,1/2,0/0,58,18.1%,74,140.0,98,38.5%,12,23.5%,59,66.7%,,0.0%,29,8.3%,,0.0%,72,2.1%
04/08/22,vs.,HOU,W,117,115,34,16,4,2,7/13,0/2,2/2,59,18.3%,53,114.3,44,8.3%,34,13.3%,70,57.1%,71,5.3%,28,8.0%,,0.0%,53,1.2%
04/07/22,vs.,PHI,W,119,114,41,13,10,2,6/12,1/3,0/0,36,14.3%,48,108.3,37,6.7%,28,15.4%,59,66.7%,69,4.9%,94,26.7%,,0.0%,,0.0%
04/05/22,vs.,ATL,W,118,108,35,19,14,1,7/13,1/3,4/7,50,16.5%,58,118.8,27,4.2%,,0.0%,70,57.1%,97,15.0%,68,16.2%,,0.0%,,0.0%
04/03/22,vs.,MIA,L,109,114,35,19,7,2,7/15,3/8,2/2,55,17.5%,58,118.8,54,10.5%,,0.0%,57,71.4%,76,6.1%,72,17.4%,,0.0%,76,2.4%
04/01/22,@,ORL,W,102,89,36,19,8,7,6/13,1/3,6/6,82,23.7%,58,118.8,93,29.2%,,0.0%,86,33.3%,96,14.3%,29,8.3%,,0.0%,,0.0%
03/30/22,vs.,MIN,W,125,102,25,17,5,4,7/9,0/0,3/4,82,23.7%,91,170.0,91,26.7%,16,21.4%,90,28.6%,88,9.1%,35,9.4%,78,1.8%,65,1.7%
03/28/22,vs.,BOS,W,115,112,30,10,4,4,5/12,0/3,0/0,80,23.1%,25,83.3,83,21.1%,36,12.9%,93,20.0%,74,5.7%,21,6.5%,,0.0%,,0.0%
03/26/22,vs.,IND,W,131,91,31,19,6,7,8/11,0/1,3/4,76,21.9%,79,146.2,92,26.9%,,0.0%,66,62.5%,66,4.5%,68,16.7%,77,1.8%,,0.0%
03/24/22,vs.,CLE,W,117,104,35,11,6,4,4/9,0/2,3/4,47,16.0%,34,100.0,76,17.4%,28,15.4%,,100.0%,92,10.5%,11,3.6%,75,1.6%,77,2.5%
03/21/22,@,CHI,L,99,113,35,8,6,5,3/9,0/1,2/2,63,19.0%,23,80.0,84,21.7%,17,20.0%,86,33.3%,72,5.4%,43,11.1%,89,2.9%,,0.0%
03/20/22,@,PHI,W,93,88,42,13,6,4,6/21,1/5,0/3,86,25.3%,15,59.1,72,16.0%,52,8.0%,86,33.3%,75,5.9%,31,8.6%,,0.0%,49,1.0%
03/18/22,vs.,LAL,L,123,128,42,31,17,6,14/20,1/3,2/2,82,23.9%,84,155.0,83,20.7%,49,8.9%,86,35.7%,92,10.8%,94,26.2%,,0.0%,49,1.1%
03/16/22,@,LAC,W,103,100,40,15,4,1,7/16,1/2,0/0,70,20.3%,33,93.8,25,3.6%,41,11.4%,90,28.6%,55,3.2%,33,9.1%,,0.0%,51,1.2%
03/14/22,@,LAL,W,114,103,40,21,9,5,9/17,1/2,2/3,60,18.4%,55,116.7,80,19.2%,45,10.3%,59,66.7%,86,8.3%,43,10.9%,86,2.6%,48,0.9%
