Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,ATL,L,103,132,36,21,4,3,8/21,2/7,3/3,90,30.2%,44,95.5,50,17.6%,21,19.2%,49,62.5%,77,4.7%,37,6.7%,,0.0%,,0.0%
04/10/22,vs.,WAS,W,124,108,32,25,3,6,10/18,5/9,0/0,71,25.0%,79,138.9,72,26.1%,65,5.6%,31,80.0%,,0.0%,50,9.4%,,0.0%,,0.0%
04/08/22,@,CHI,W,133,117,30,15,4,8,7/14,1/6,0/0,77,26.2%,51,107.1,76,28.6%,,0.0%,49,57.1%,,0.0%,84,17.4%,,0.0%,,0.0%
04/07/22,vs.,ORL,W,128,101,26,22,8,3,9/17,2/7,2/2,83,28.1%,65,122.2,53,18.8%,,0.0%,72,33.3%,97,12.0%,87,18.5%,88,1.9%,60,1.6%
04/05/22,@,MIA,L,115,144,34,16,2,6,7/15,1/6,1/1,62,23.0%,51,106.7,67,24.0%,65,5.9%,49,57.1%,73,3.4%,20,3.8%,,0.0%,,0.0%
04/02/22,@,PHI,L,114,144,28,7,4,6,1/8,0/4,5/6,53,21.1%,22,70.0,79,30.0%,59,7.4%,,100.0%,,0.0%,92,21.1%,,0.0%,99,7.8%
03/30/22,@,NYK,W,125,114,33,15,5,4,5/16,1/8,4/4,69,24.3%,30,83.3,42,14.8%,,0.0%,31,80.0%,73,3.4%,73,14.3%,,0.0%,78,2.7%
03/28/22,vs.,DEN,L,109,113,26,12,2,8,5/14,2/7,0/0,83,28.0%,32,85.7,96,47.1%,,0.0%,47,60.0%,,0.0%,36,7.1%,,0.0%,63,1.7%
03/27/22,@,BKN,W,119,110,37,14,7,4,5/12,2/5,2/2,39,18.5%,51,107.7,39,13.8%,22,18.2%,47,60.0%,66,2.6%,73,14.3%,,0.0%,49,1.1%
03/25/22,vs.,UTA,W,107,101,34,25,4,1,9/19,5/7,2/2,57,22.0%,67,125.0,15,5.3%,,0.0%,28,88.9%,,0.0%,61,11.4%,,0.0%,55,1.3%
03/23/22,vs.,NYK,L,106,121,39,18,3,3,6/16,3/8,3/3,74,25.3%,50,105.9,27,10.0%,21,19.5%,38,66.7%,70,3.0%,33,6.7%,83,1.5%,,0.0%
03/21/22,vs.,NOP,W,106,103,35,17,2,1,7/14,3/9,0/0,42,19.3%,64,121.4,14,4.5%,32,14.8%,29,85.7%,,0.0%,24,4.9%,82,1.4%,57,1.4%
03/19/22,vs.,DAL,W,129,108,29,18,6,6,7/10,4/7,0/0,51,20.8%,94,180.0,74,27.3%,28,16.0%,37,71.4%,84,5.3%,84,17.2%,87,1.8%,,0.0%
03/16/22,vs.,ATL,W,116,106,35,18,3,2,8/17,2/8,0/1,61,22.7%,50,105.9,24,8.7%,42,11.8%,33,75.0%,89,6.5%,15,2.6%,,0.0%,90,4.0%
